Variable,IDCODE,Congruency,Mode,STIMULI,Correctans,RToriginal,RTcorrected
Label,Participant code,Congruency,"Treble, Bass, Word",Stimuli image,Answer correct or incorrect,Reaction time original (ms),Reaction time corrected for errors and 3SDs (ms)
,2,1,3,Abgainsboro.png,1.00,1080.00,1080.00
,2,1,3,Dmedblue.png,1.00,1032.00,1032.00
,2,1,3,Egreen.png,1.00,1080.00,1080.00
,2,1,3,Bbfirebrick.png,1.00,1616.00,1616.00
,2,1,3,Gred.png,1.00,1096.00,1096.00
,2,1,3,Ayellow.png,1.00,1290.00,1290.00
,2,1,3,Ebdarkslategrey.png,1.00,1593.00,1593.00
,3,0,1,Emajorlightpurple,1.00,3563.00,3563.00
,3,0,1,Fmajorlightgreen,1.00,1952.00,1952.00
,3,0,1,Cmajororangebrown,1.00,1256.00,1256.00
,3,0,1,Bbmajoryellow,1.00,1635.00,1635.00
,3,0,1,Abmajorgreen,1.00,2919.00,2919.00
,3,0,1,Ebmajorlightblue,1.00,1941.00,1941.00
,3,0,1,Dmajororangeyred,1.00,1965.00,1965.00
,3,0,1,Gmajorbrown,1.00,2658.00,2658.00
,3,1,1,Bbmajorbrown,1.00,1716.00,1716.00
,3,1,1,Abmajororangebrown,1.00,2611.00,2611.00
,3,1,1,Ebmajorsalmonbrown,1.00,3181.00,0.00
,3,1,1,Fmajorlightpurple,1.00,879.00,879.00
,3,1,1,Cmajorlightblue,1.00,840.00,840.00
,3,1,1,Dmajorlightgreen,1.00,1198.00,1198.00
,3,1,1,Gmajorgreen,1.00,1480.00,1480.00
,3,1,1,Emajororangeyred,1.00,2662.00,2662.00
,3,0,2,BassAbmajorgreen,1.00,1465.00,1465.00
,3,0,2,BassBbmajoryellow,1.00,1628.00,1628.00
,3,0,2,BassCmajororangebrown,1.00,1922.00,1922.00
,3,0,2,BassDmajororangeyred,1.00,1940.00,1940.00
,3,0,2,BassEbmajorlightblue,1.00,2853.00,2853.00
,3,0,2,BassEmajorlightpurple,1.00,1711.00,1711.00
,3,0,2,BassFmajorlightgreen,1.00,1201.00,1201.00
,3,0,2,BassGmajorbrown,1.00,1476.00,1476.00
,3,1,2,BassEmajororangeyred,1.00,1736.00,1736.00
,3,1,2,bassGmajorgreen,1.00,1996.00,1996.00
,3,1,2,BassAbmajororangebrown,1.00,2039.00,2039.00
,3,1,2,BassFmajorlightpurple,1.00,1903.00,1903.00
,3,1,2,BassCmajorlightblue,1.00,1509.00,1509.00
,3,1,2,BassBbmajorbrown,1.00,1560.00,1560.00
,3,1,2,BassDmajorlightgreen,1.00,1685.00,1685.00
,3,1,2,BassEbmajorsalmonbrown,1.00,1804.00,1804.00
,3,0,3,Corangebrown,1.00,1955.00,1955.00
,3,0,3,Abgreen,1.00,1977.00,1977.00
,3,0,3,Bbyellow,1.00,1508.00,1508.00
,3,0,3,Flightgreen,1.00,932.00,932.00
,3,0,3,Elightpurple,1.00,1156.00,1156.00
,3,0,3,Dorangeyred,1.00,1210.00,1210.00
,3,0,3,Eblightblue,1.00,1376.00,1376.00
,3,0,3,Gbrown,1.00,2724.00,2724.00
,3,1,3,Ebsalmonbrown,1.00,1975.00,1975.00
,3,1,3,Aborangebrown,1.00,1855.00,1855.00
,3,1,3,Dlightgreen,1.00,2234.00,2234.00
,3,1,3,Flightpurple,1.00,1073.00,1073.00
,3,1,3,Ggreen,1.00,1106.00,1106.00
,3,1,3,Clightblue,1.00,1395.00,1395.00
,3,1,3,Bbbrown,1.00,1537.00,1537.00
,3,1,3,Eorangeyred,1.00,1651.00,1651.00
,4,0,1,Fmajorlimegreen,1.00,1395.00,1395.00
,4,0,1,Gmajorblack,1.00,3072.00,3072.00
,4,0,1,Cmajorroyalblue,1.00,1761.00,1761.00
,4,0,1,Amajorfirebrick,1.00,1814.00,1814.00
,4,0,1,Bbmajordeepskyblue,1.00,1948.00,1948.00
,4,0,1,Emajorgold,1.00,2037.00,2037.00
,4,0,1,Abmajorred,1.00,2106.00,2106.00
,4,0,1,Dmajorsaddlebrown,1.00,2141.00,2141.00
,4,0,1,Ebmajorblueviolet,1.00,3213.00,3213.00
,4,1,1,Emajorred,2.00,2263.00,0.00
,4,1,1,Dmajorlimegreen,1.00,1026.00,1026.00
,4,1,1,Abmajorroyalblue,1.00,1186.00,1186.00
,4,1,1,Cmajorgold,1.00,1326.00,1326.00
,4,1,1,Fmajorblueviolet,1.00,1476.00,1476.00
,4,1,1,Bbmajorblack,1.00,1688.00,1688.00
