Variable,IDCODE,Mode,STIMULI,RT
Label,Participant code,"Treble, Bass, Word",Stimuli image,Reaction time (ms)
,16,1,Dmajor,909.00
,16,1,Dmajorcopy,920.00
,16,1,Amajor,963.00
,16,1,Gmajor,1059.00
,16,1,Ebmajorcopy,1069.00
,16,1,Ebmajor,1072.00
,16,1,Bbmajor,1370.00
,16,1,Emajor,1479.00
,16,1,Bbmajorcopy,1581.00
,16,1,Abmajorcopy,1610.00
,16,1,Abmajor,1782.00
,16,1,Fmajor,1787.00
,16,1,Emajorcopy,2116.00
,16,1,Amajorcopy,2422.00
,14,1,Abmajor,1059.00
,14,1,Abmajorcopy,1477.00
,14,1,Amajorcopy,664.00
,14,1,Amajor,1116.00
,14,1,Bbmajorcopy,882.00
,14,1,Bbmajor,1219.00
,14,1,Cmajor,570.00
,14,1,Cmajorcopy,617.00
,14,1,Dmajor,709.00
,14,1,Dmajorcopy,746.00
,14,1,Ebmajorcopy,501.00
,14,1,Ebmajor,688.00
,14,1,Emajor,721.00
,14,1,Emajorcopy,742.00
,14,1,Fmajor,363.00
,14,1,Fmajorcopy,664.00
,14,1,Gmajor,590.00
,14,1,Gmajorcopy,746.00
,17,1,Cmajor,1695.00
,17,1,Emajorcopy,2441.00
,17,1,Dmajorcopy,1535.00
,17,1,Gmajor,1090.00
,17,1,Fmajorcopy,1222.00
,17,1,Cmajorcopy,1291.00
,17,1,Fmajor,2016.00
,17,1,Emajor,1708.00
,17,1,Abmajor,1861.00
,17,1,Amajorcopy,1965.00
,17,1,Gmajorcopy,2137.00
,17,1,Ebmajor,2372.00
,17,1,Bbmajor,2674.00
,17,1,Amajor,2684.00
,17,1,Bbmajorcopy,3010.00
,17,1,Abmajorcopy,3296.00
,15,1,Abmajor,1709.00
,15,1,Abmajorcopy,1477.00
,15,1,Amajor,1535.00
,15,1,Amajorcopy,1280.00
,15,1,Bbmajorcopy,1255.00
,15,1,Bbmajor,398.00
,15,1,Cmajorcopy,294.00
,15,1,Cmajor,920.00
,15,1,Dmajorcopy,1184.00
,15,1,Dmajor,1663.00
,15,1,Ebmajor,1126.00
,15,1,Emajor,1292.00
,15,1,Emajorcopy,840.00
,15,1,Fmajorcopy,606.00
,15,1,Fmajor,967.00
,15,1,Gmajorcopy,782.00
,15,1,Gmajor,1465.00
,13,3,FmajorBWcopy,686.00
,13,3,GmajorBWcopy,710.00
,13,3,CmajorBWcopy,728.00
,13,3,CmajorBW,729.00
,13,3,EmajorBWcopy,745.00
,13,3,AmajorBW,756.00
,13,3,AmajorBWcopy,769.00
,13,3,AbmajorBW,778.00
,13,3,EbmajorBWcopy,792.00
,13,3,FmajorBW,814.00
,13,3,EbmajorBW,838.00
,13,3,DmajorBWcopy,849.00
,13,3,BbmajorBWcopy,930.00
,13,3,DmajorBW,967.00
,13,3,BbmajorBW,1035.00
,13,3,GmajorBW,1050.00
,13,3,EmajorBW,1138.00
,13,3,AbmajorBWcopy,1326.00
,11,3,AbmajorBW,1570.00
,11,3,AbmajorBW,1831.00
,11,3,AmajorBW,1290.00
,11,3,AmajorBW,804.00
,11,3,BbmajorBW,1995.00
,11,3,BbmajorBW,998.00
,11,3,CmajorBW,1587.00
,11,3,CmajorBW,792.00
,11,3,DmajorBW,2006.00
,11,3,DmajorBW,838.00
,11,3,EbmajorBW,1910.00
,11,3,EbmajorBW,1210.00
,11,3,EmajorBW,420.00
,11,3,EmajorBW,798.00
,11,3,FmajorBW,1300.00
,11,3,FmajorBW,1633.00
,11,3,GmajorBW,1520.00
,11,3,GmajorBW,701.00
,12,3,AbmajorBWcopy,673.00
,12,3,AbmajorBW,733.00
,12,3,AmajorBW,710.00
,12,3,AmajorBWcopy,722.00
,12,3,BbmajorBWcopy,675.00
,12,3,BbmajorBW,707.00
,12,3,CmajorBW,742.00
,12,3,CmajorBWcopy,791.00
,12,3,DmajorBW,791.00
,12,3,DmajorBWcopy,793.00
,12,3,EbmajorBWcopy,677.00
