Variable,ID,Pres500C,Pres500IC,Pres56C,Pres56IC,Pres28C,Pres28IC
Label,Participants ID,Presentation 500ms Congruent,Presentation 500ms Incongruent,Presentation 56ms Congruent,Presentation 56ms Incongruent,Presentation 28ms Congruent,Presentation 28ms Incongruent
,13,726.47,677.47,418.91,574.50,553.34,490.24
,14,778.12,690.50,743.87,697.48,743.87,872.50
,15,666.43,617.59,550.37,553.27,463.11,467.18
,16,773.51,774.43,707.56,703.61,636.08,712.45
,17,1060.86,1103.31,1060.86,1103.31,783.17,809.83
,12,1273.72,1042.90,790.28,834.08,639.85,1042.90
,11,581.83,602.52,528.55,546.26,520.25,471.86
