Variable,ID,Key,Lfirst,Lsecond,Ufirst,Usecond,Vfirst,Vsecond,SynCon
Label,Participant,Key,First L,Second L,First U,Second U,First V,Second V,Synaesthete or control
,11,C Major,50.59,53.99,-43.13,-37.87,55.75,49.37,2.00
,11,G major,83.81,30.05,22.27,-5.62,-16.16,-113.09,2.00
,11,D Major,97.17,83.83,0.60,10.68,105.42,73.79,2.00
,11,A major,4.98,42.32,8.54,68.59,82.29,2.89,2.00
,11,E major,20.47,55.48,10.08,-12.05,61.34,81.38,2.00
,11,F major,49.07,49.71,145.77,113.37,21.74,-10.71,2.00
,11,Bb Major,69.48,81.93,95.89,-39.89,5.40,26.63,2.00
,11,Eb major,42.23,77.90,-10.58,-19.15,36.12,-44.76,2.00
,11,Ab major,84.56,86.11,0.00,4.50,-0.01,29.15,2.00
,12,C Major,94.94,95.81,6.07,10.87,93.34,94.69,2.00
,12,G major,91.18,90.02,-29.71,-61.76,83.06,92.77,2.00
,12,D Major,85.96,92.49,-78.40,-35.48,93.53,104.85,2.00
,12,A major,80.99,75.88,-37.62,-4.01,-38.58,-62.01,2.00
,12,E major,82.10,74.87,42.43,72.73,82.64,57.76,2.00
,12,F major,72.11,73.13,74.54,67.93,58.93,-12.50,2.00
,12,Bb Major,68.16,48.46,70.23,-1.96,-44.45,-125.75,2.00
,12,Eb major,62.02,59.53,32.65,113.76,-94.38,-29.40,2.00
,12,Ab major,56.31,45.14,115.86,15.69,-33.44,-130.91,2.00
,13,C Major,96.41,95.12,9.49,12.52,103.33,89.79,2.00
,13,G major,67.81,42.69,85.00,-38.24,58.65,42.16,2.00
,13,D Major,93.27,75.29,-47.65,-37.51,-11.94,-60.61,2.00
,13,A major,55.50,55.31,66.47,-18.32,-109.09,-110.61,2.00
,13,F major,51.85,59.38,-36.26,-51.36,49.65,44.53,2.00
,13,Bb Major,24.67,52.55,-7.46,-26.88,-93.10,-78.68,2.00
,13,Eb major,32.02,69.28,12.89,64.53,-95.06,55.58,2.00
,13,Ab major,42.82,46.29,118.25,146.09,23.52,30.99,2.00
,14,A major,66.10,59.83,92.97,113.96,10.72,-25.24,2.00
,14,Ab major,77.66,82.25,-27.93,-14.24,-27.66,88.67,2.00
,14,Bb Major,94.19,69.38,-23.01,-7.38,88.94,-79.04,2.00
,14,C Major,95.50,93.42,11.71,17.10,96.67,94.37,2.00
,14,D Major,91.10,37.87,-69.78,-7.52,-10.82,-133.55,2.00
,14,E major,87.99,88.41,-80.85,-77.63,103.51,95.42,2.00
,14,Eb major,65.26,72.38,-9.56,-51.68,-89.56,37.30,2.00
,14,F major,59.11,57.23,141.16,142.22,42.66,17.80,2.00
,14,G major,76.94,88.26,66.69,-56.32,69.68,-24.05,2.00
,15,A major,60.46,21.66,56.47,-6.35,-67.20,-86.98,2.00
,15,Ab major,86.63,74.87,-68.14,-40.35,11.93,-61.49,2.00
,15,Bb Major,71.88,74.98,69.54,64.77,62.11,5.98,2.00
,15,C Major,89.22,89.43,-68.50,-67.40,101.05,93.98,2.00
,15,D Major,62.99,66.28,-25.79,76.57,-94.03,-76.05,2.00
,15,E major,93.44,95.29,17.02,12.19,93.49,94.14,2.00
,15,Eb major,89.85,75.09,14.52,70.69,58.02,49.35,2.00
,15,F major,89.71,92.62,-64.91,-55.53,92.04,0.36,2.00
,15,G major,93.72,82.87,-46.23,-12.15,2.97,-42.54,2.00
,16,A major,87.85,94.69,-82.12,13.81,105.52,96.95,2.00
,16,Ab major,38.25,84.26,6.46,33.75,-108.68,-38.63,2.00
,16,Bb Major,54.07,75.75,3.02,3.03,-66.03,-62.99,2.00
,16,C Major,56.80,68.43,151.89,-36.67,35.88,-79.11,2.00
,16,D Major,62.79,59.01,121.61,132.99,42.19,18.21,2.00
,16,E major,54.44,72.22,-38.79,-35.89,61.37,-69.05,2.00
,16,Eb major,29.83,25.25,-6.63,7.12,-45.66,-59.50,2.00
,16,F major,58.64,58.55,-22.63,23.36,-81.37,-108.26,2.00
,16,G major,75.46,86.05,72.53,37.02,71.86,74.56,2.00
,17,C Major,70.01,81.68,-41.55,-53.56,-74.51,-41.87,2.00
,17,G major,63.00,59.63,122.05,139.17,47.39,45.12,2.00
,17,D Major,54.22,97.01,30.73,7.73,-117.89,88.86,2.00
,17,A major,60.27,46.47,37.61,147.30,49.79,27.83,2.00
,17,E major,83.29,73.61,46.31,43.26,83.56,70.55,2.00
,17,F major,60.39,92.83,113.21,-35.82,-20.44,87.38,2.00
,17,Bb Major,80.24,56.28,-29.12,29.39,89.86,-113.63,2.00
,17,Eb major,32.59,83.93,-11.54,-9.23,-111.67,-40.01,2.00
,17,Ab major,76.30,73.04,-11.75,-4.12,-24.39,-69.59,2.00
,18,A major,61.13,49.71,-15.77,113.37,14.42,-10.71,2.00
,18,Ab major,999.00,33.29,999.00,73.93,999.00,3.58,2.00
,18,Bb Major,42.34,0.00,68.38,0.00,32.32,0.00,2.00
,18,C Major,73.51,36.25,65.10,73.13,-22.63,9.22,2.00
,18,D Major,93.34,51.65,-52.12,-24.01,-10.43,-119.17,2.00
,18,E major,16.05,40.40,-0.48,-34.78,-0.72,34.83,2.00
,18,Eb major,89.91,27.36,-60.55,0.57,107.07,-68.28,2.00
,18,F major,82.52,51.87,41.68,4.11,2.59,57.02,2.00
,18,G major,98.20,88.21,3.72,28.70,-2.25,73.94,2.00
